village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,-0.2582742822233563,49,0.36974944331835014,4,-0.21441534740213075,49,0.09108755470044289,4,-0.25086759465611425,59,0.13041024052821068,4
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,-0.2288154527738523,49,0.381644371959278,4,-0.23282342019593222,49,0.09632942929382174,4,-0.18223299888780795,59,0.2949916358908416,4
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,-0.2175497542944686,49,0.419239848983013,4,-0.2379528687681795,49,0.11732436859679665,4,-0.21618969979062047,59,0.13102359652241158,4
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,-0.1928446977574426,50,0.33119674828822304,4,-0.23411284892510462,49,0.30716087191361485,4,-0.20489538101230406,59,0.31523823577726906,4
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,-0.20005965299823478,49,0.39400167556550403,4,-0.19923343547491648,48,0.254463080775151,4,-0.2224623783494047,59,0.12882270413957186,4
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,-0.2093510869291811,100,0.37485769620564363,4,-0.24613490273876326,98,0.17663504845196643,4,-0.20130866974322845,118,0.16511997459123703,4
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-0.21802180901348758,50,0.39227094743504876,4,-0.23817257052308063,49,0.2958240184038045,4,-0.26658554290625314,59,0.21763407701220588,4
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.2592452604697068,49,0.3948363432362171,4,-0.25044939390449733,49,0.35645598297598124,4,-0.26987776565442556,60,0.2988487490311971,4
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.2431891088799573,49,0.41997763081151634,4,-0.2911991167822107,49,0.3549720398931695,4,-0.23965615581395136,60,0.30829417592193725,4
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.21299062386615553,49,0.36286349318400607,4,-0.31312824172805015,49,0.20134572446610896,4,-0.23972420023589983,59,0.21573807257790942,4
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.26142161398958047,98,0.33987737296682796,4,-0.30093549829682886,98,0.3412931957173108,4,-0.221079477298034,120,0.24886566078250885,4
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.22524239708232066,98,0.3298500063684252,4,-0.22875184598340928,98,0.19721388581726285,4,-0.21388927530588236,120,0.30561388909816745,4
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.24421556398396224,98,0.341713477319546,4,-0.27200133516934955,98,0.2648679847462793,4,-0.2157769642987284,120,0.2781994323047359,4
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.2561402462467278,98,0.41399386920524955,4,-0.293990461697586,98,0.20226867194624915,4,-0.2864669845276615,120,0.19985228340030387,4
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.2699341544705203,49,0.3402901745866983,4,-0.26517668280538687,49,0.3207812536441321,4,-0.26733896911472044,61,0.3135044561765555,4
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.2572971304763714,49,0.39190223433451943,4,-0.21637014366583207,49,0.35967038133956863,4,-0.2496378281596043,61,0.29368156168047943,4
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.25154164898865305,49,0.3745027894775072,4,-0.22510658974378484,49,0.23815834078523845,4,-0.26154058186686824,61,0.3202194382415878,4
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.25782487651048325,49,0.3890033469168275,4,-0.26105332924089014,49,0.30866926795655747,4,-0.23851429209668992,59,0.1502199326133675,4
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.25157717017269643,98,0.37828785861388087,4,-0.2206403026382031,98,0.2955205963887191,4,-0.2502416310720952,120,0.3248190409887607,4
