village_id,village,district,block,state,is_core_sample,latitude,longitude,building_count,building_total_area_m2,building_mean_confidence
149,Kharman,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.691851,91.7463062,18,768.250804901123,0.8019777801301744
150,Lumpo,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7204821,91.7144005,74,10035.089038848877,0.8303702683062166
151,Maling,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6350823,92.0693622,20,1657.0689811706543,0.8220400035381317
152,Muktur,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.5800562,91.6627629,128,8733.983564376831,0.8265062496066093
153,Ramyang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.514701,91.6549664,144,10011.31501197815,0.8326708318458663
154,Shakti,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.61139,91.71387,160,13973.531164169312,0.8125674985349178
155,Shoktsen,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7416556,91.7318533,16,1184.7741966247559,0.8219750002026558
156,Sirdi,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6466524,91.7230296,42,2848.066791534424,0.8151999967438834
157,Bishing,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.1107736,95.0268102,140,9683.990461349487,0.8244414286954063
158,Bona,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0974164,94.9475348,78,4425.322580337524,0.8146461492929703
159,Mankota,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8878329,95.0759463,36,2352.038504600525,0.8102861096461614
160,Mayum,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0924208,94.9597907,106,6742.269855499268,0.8095547152015398
161,Tashi Gaon,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8743385,95.1028336,24,1850.277795791626,0.8111583317319552
162,Jido,Upper Siang,Tuting,Arunachal Pradesh,True,28.9820594,94.904882,194,13397.347812652588,0.8185412349160185
163,Lali,Upper Siang,Tuting,Arunachal Pradesh,True,29.0003932,94.8912175,738,79974.89441680908,0.8320712736305506
164,Ngaming,Upper Siang,Tuting,Arunachal Pradesh,True,28.9686342,94.9381419,388,29505.19391155243,0.8185201029187625
165,Nyering,Upper Siang,Tuting,Arunachal Pradesh,True,28.9360701,95.0104597,34,2418.5107975006104,0.828388231642106
166,Pango,Upper Siang,Tuting,Arunachal Pradesh,True,28.8870297,94.7578559,136,8976.893032073975,0.8197338248000425
167,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,1050,95591.62555885315,0.8202245714550926
168,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,1050,95591.62555885315,0.8202245714550926
169,Pokbir,Upper Siang,Tuting,Arunachal Pradesh,True,28.963981,94.9375517,212,14890.954209327698,0.8216254688658804
170,Rishing,Upper Siang,Tuting,Arunachal Pradesh,True,28.9984023,94.8852907,778,80216.53901863098,0.8311491001847471
171,Tenggo,Upper Siang,Tuting,Arunachal Pradesh,True,29.0668244,94.478654,28,1810.3058166503906,0.8452928492001125
172,Dadu,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.3625828,93.5395735,28,3508.799385070801,0.8051500022411346
173,Gumsing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,32,3292.438789367676,0.8357499986886978
174,Lingbing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4367283,93.2151175,24,2596.255172729492,0.8848416606585184
175,Redding,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,36,2047.7483825683594,0.8080666694376204
176,Redding Camp,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,36,2047.7483825683594,0.8080666694376204
177,Taying,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,32,3292.438789367676,0.8357499986886978
178,Yaja,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4354329,93.2468461,6,349.2360038757324,0.7913999954859415
179,Chokar,Upper Subansiri,Nacho,Arunachal Pradesh,True,28.4279157,93.8094041,2,117.97139739990234,0.7699000239372253
180,Jerigaon,West Kameng,Nafra,Arunachal Pradesh,True,27.3403204,92.4726477,310,21511.40802192688,0.8176587093260981
181,Khellong,West Kameng,Nafra,Arunachal Pradesh,True,27.0133852,92.4145185,2,153.8995018005371,0.8627499938011169
182,Gatam,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0979458,93.6001405,0,0.0,
183,Habak,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.1084846,93.5827385,4,286.1870002746582,0.8269500136375427
