village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count,ndbi_change,lights_change
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,-0.2772284296923675,-0.2490807044091809,49,60,0.3906618517153255,0.2780811962680901,4,4,0.028147725283186598,-0.11258065544723544
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,-0.2901059013669821,-0.2853687465096028,49,60,0.4531018090663798,0.1232620913564689,4,4,0.0047371548573793,-0.32983971770991094
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,-0.2670570289069653,-0.2533267213448218,49,60,0.3956360517283984,0.2141067477651929,4,4,0.013730307562143496,-0.1815293039632055
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-0.2642527512005974,-0.2773939528615005,49,60,0.3690823130268144,0.2153921006982928,4,4,-0.013141201660903101,-0.1536902123285216
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-0.2739870490840717,-0.3068955457234833,49,61,0.2779555677428958,0.3551237349166913,4,4,-0.032908496639411644,0.07716816717379549
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.279253373974743,-0.2504079547789687,98,121,0.3214055517315864,0.3117527675628662,4,4,0.02884541919577427,-0.00965278416872023
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.279253373974743,-0.2504079547789687,98,121,0.3214055517315864,0.3117527675628662,4,4,0.02884541919577427,-0.00965278416872023
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,-0.2535542273581768,-0.2480045513204815,49,61,0.3494506057570962,0.3939705828450761,4,4,0.005549676037695295,0.04451997708797989
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,-0.2846069917358205,-0.2701880562860881,98,121,0.3370155055789589,0.4555647787395637,4,4,0.014418935449732384,0.11854927316060482
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,-0.2943611894526293,-0.2688525874207804,98,121,0.3470172069048907,0.3786792397234468,4,4,0.025508602031848904,0.03166203281855612
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-0.2866925336104576,-0.2664200767274505,98,121,0.3604297795322503,0.4803314494283011,4,4,0.020272456883007106,0.11990166989605078
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-0.2610925811886007,-0.2677446725107071,49,61,0.4059671904908585,0.3201300876712368,4,4,-0.006652091322106424,-0.0858371028196217
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-0.2680032608683707,-0.2261800702097985,25,30,0.3505685643574333,0.2604598663954963,4,4,0.04182319065857218,-0.09010869796193699
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-0.2821413498401846,-0.2681740479214286,49,61,0.3845540592436541,0.4004264146986614,4,4,0.013967301918755948,0.015872355455007314
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-0.2820361110453345,-0.2603955298948192,39,35,0.3529800218297426,0.3343285222627742,4,4,0.021640581150515315,-0.018651499566968377
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.2560703667704415,-0.2419119877879332,49,57,0.4210777807897991,0.3719194373488426,4,4,0.014158378982508268,-0.04915834344095654
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.2617095949180829,-0.2381202542297689,25,30,0.2829542921538337,0.2588684495741973,4,4,0.023589340688313976,-0.02408584257963642
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.3110107152020048,-0.2844881407546675,98,121,0.4195953464825243,0.4435670728694044,4,4,0.0265225744473373,0.02397172638688011
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.2470274930302098,-0.2442840577572534,25,30,0.40909999344084,0.27568332966831,4,4,0.002743435272956396,-0.13341666377253003
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.244505705712648,-0.2248234514166438,50,60,0.3840050454431051,0.3630577381282644,4,4,0.019682254296004204,-0.02094730731484068
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.2872536408492523,-0.2341421963177576,25,30,0.355674381113483,0.3083182808104271,4,4,0.05311144453149472,-0.04735610030305587
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.2530614633701173,-0.2238980211377063,25,30,0.3853989912063948,0.3513420767350388,4,4,0.02916344223241102,-0.034056914471356003
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.2725685481281262,-0.1994239474278522,25,30,0.3582578289095455,0.3221672199649832,4,4,0.07314460070027401,-0.036090608944562286
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.200440786805615,-0.2078192777441898,50,60,0.3130674133809765,0.3274297790915778,4,4,-0.007378490938574789,0.014362365710601288
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.2095806369161353,-0.2099456223566355,50,60,0.3953500031762653,0.3136055552959442,4,4,-0.000364985440500204,-0.08174444788032109
