system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
0000000000000000004f,2,1,Damin,Kurung Kumey,true,0.21539210069829287,0.36908231302681443,-0.27765413350570445,-0.3154184634235389,Arunachal Pradesh,Yaso,80,"{""type"":""Point"",""coordinates"":[93.34733870855821,28.10027383658416]}"
00000000000000000050,4,3,Koloriang,Kurung Kumey,true,0.3551351355204175,0.27790540510469725,-0.3034043905267626,-0.3467622826888194,Arunachal Pradesh,Buhan,81,"{""type"":""Point"",""coordinates"":[93.28314994889386,27.88954563900042]}"
00000000000000000051,6,4,Koloriang,Kurung Kumey,true,0.3117527675628662,0.32140555173158647,-0.2604224747367897,-0.3418043506441172,Arunachal Pradesh,Buyang,82,"{""type"":""Point"",""coordinates"":[93.2861152510944,27.941993585591053]}"
00000000000000000052,6,4,Koloriang,Kurung Kumey,true,0.3117527675628662,0.32140555173158647,-0.2604224747367897,-0.3418043506441172,Arunachal Pradesh,Buyang-II,83,"{""type"":""Point"",""coordinates"":[93.2861152510944,27.941993585591053]}"
00000000000000000053,4,3,Koloriang,Kurung Kumey,true,0.3939705828450761,0.34945060575709624,-0.22416821791783414,-0.2934456778387282,Arunachal Pradesh,Chello,84,"{""type"":""Point"",""coordinates"":[93.2916445364007,27.884921551208006]}"
00000000000000000054,6,4,Koloriang,Kurung Kumey,true,0.45556477873956375,0.3370155055789589,-0.2823284006008979,-0.32601092529251524,Arunachal Pradesh,Chimpu,85,"{""type"":""Point"",""coordinates"":[93.25662721582796,27.95224059981187]}"
00000000000000000055,6,4,Koloriang,Kurung Kumey,true,0.3785310365804811,0.34696785302754246,-0.28234862963163876,-0.3416097894417101,Arunachal Pradesh,Chomi,86,"{""type"":""Point"",""coordinates"":[93.25954792701798,27.955674107623025]}"
00000000000000000056,6,4,Koloriang,Kurung Kumey,true,0.4803740044948891,0.36048931808654044,-0.26797430983867454,-0.3237656199380245,Arunachal Pradesh,Chote,87,"{""type"":""Point"",""coordinates"":[93.2616615409173,27.952441259359272]}"
00000000000000000057,4,3,Koloriang,Kurung Kumey,true,0.3201300876712368,0.40596719049085855,-0.2444662702587817,-0.2907662323490198,Arunachal Pradesh,Kiodhriang,88,"{""type"":""Point"",""coordinates"":[93.25418362845068,27.85817140398838]}"
00000000000000000058,2,1,Koloriang,Kurung Kumey,true,0.26045986639549634,0.3505685643574333,-0.24240523142367887,-0.28277516446489787,Arunachal Pradesh,Nangram,89,"{""type"":""Point"",""coordinates"":[93.43878595296228,27.907172465464694]}"
00000000000000000059,4,3,Koloriang,Kurung Kumey,true,0.4004264146986614,0.3845540592436541,-0.2487688594171356,-0.31813704279665167,Arunachal Pradesh,Nyolo,90,"{""type"":""Point"",""coordinates"":[93.30762149547517,27.901264156568878]}"
0000000000000000005a,2,2,Koloriang,Kurung Kumey,true,0.3343098653591921,0.35286585329112874,-0.2650039771418635,-0.31159944624780733,Arunachal Pradesh,Pakba,91,"{""type"":""Point"",""coordinates"":[93.3997821960478,27.890361654493198]}"
0000000000000000005b,4,3,Koloriang,Kurung Kumey,true,0.3718348044381702,0.4210393599951082,-0.27709475139076334,-0.3172340645661858,Arunachal Pradesh,Papu,92,"{""type"":""Point"",""coordinates"":[93.39174243684843,27.911154442705424]}"
0000000000000000005c,2,1,Koloriang,Kurung Kumey,true,0.2588337045495532,0.28283203133781043,-0.2360402920610338,-0.2808344976565828,Arunachal Pradesh,Rengchi,93,"{""type"":""Point"",""coordinates"":[93.42677759382535,27.89140954324076]}"
0000000000000000005d,6,4,Koloriang,Kurung Kumey,true,0.44356707286940444,0.41959534648252433,-0.29856066588868696,-0.35779968483804697,Arunachal Pradesh,Tate,94,"{""type"":""Point"",""coordinates"":[93.26991533696723,27.953930599111125]}"
0000000000000000005e,2,1,Koloriang,Kurung Kumey,true,0.27568332966831,0.40909999344084,-0.24697235620657643,-0.287559587914047,Arunachal Pradesh,Yumlam,95,"{""type"":""Point"",""coordinates"":[93.45600700123069,27.889795348659415]}"
0000000000000000005f,3,1,Parsi-Parlo,Kurung Kumey,true,0.36306551222304617,0.3839753645598422,-0.2799514148660605,-0.2580624191338322,Arunachal Pradesh,Cheba,96,"{""type"":""Point"",""coordinates"":[93.48009952422245,28.02049605963697]}"
00000000000000000060,1,0,Parsi-Parlo,Kurung Kumey,true,0.3082598833714501,0.35566384371391124,-0.29210015796265115,,Arunachal Pradesh,Dape,97,"{""type"":""Point"",""coordinates"":[93.47626023821545,28.030506741501952]}"
00000000000000000061,1,0,Parsi-Parlo,Kurung Kumey,true,0.3513420767350388,0.3853989912063948,-0.2687435549506894,,Arunachal Pradesh,Dare,98,"{""type"":""Point"",""coordinates"":[93.45663573447922,28.040744837520663]}"
00000000000000000062,1,0,Parsi-Parlo,Kurung Kumey,true,0.3221612482228445,0.35826147710622896,-0.2524084657708494,,Arunachal Pradesh,Geyang,99,"{""type"":""Point"",""coordinates"":[93.47183235086939,28.03230375922649]}"
00000000000000000063,3,1,Parsi-Parlo,Kurung Kumey,true,0.32742977909157783,0.31306741338097654,-0.2363413718860398,-0.21760486598553128,Arunachal Pradesh,Gonang,100,"{""type"":""Point"",""coordinates"":[93.51698966723762,27.988484173174275]}"
