system:index,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000045,Damin,Kurung Kumey,True,0.2263503501007745,0.3028135447867306,-0.3457386313280434,-0.3609192801197929,Arunachal Pradesh,Nisuk,70,"{""type"":""Point"",""coordinates"":[93.41492976232635,28.108184281852985]}"
00000000000000000046,Damin,Kurung Kumey,True,0.2390521038034538,0.315631932965139,-0.3068495843404967,-0.2788695804102017,Arunachal Pradesh,Pipa,71,"{""type"":""Point"",""coordinates"":[93.28314994889386,28.073586116779296]}"
00000000000000000047,Damin,Kurung Kumey,True,0.2421605579728688,0.2986376304406833,-0.3234770749888771,-0.3576344147523167,Arunachal Pradesh,Ramu,72,"{""type"":""Point"",""coordinates"":[93.41910794001343,28.1084027778046]}"
00000000000000000048,Damin,Kurung Kumey,True,0.2484970155471403,0.3037658099949892,-0.3413832561833969,-0.3174226484658499,Arunachal Pradesh,Rane,73,"{""type"":""Point"",""coordinates"":[93.34761071372247,28.144039913423743]}"
00000000000000000049,Damin,Kurung Kumey,True,0.2183586723834008,0.3295232690535151,-0.3095639986721595,-0.3123033025634583,Arunachal Pradesh,Rawiok,74,"{""type"":""Point"",""coordinates"":[93.32492280756254,28.137739203635224]}"
0000000000000000004a,Damin,Kurung Kumey,True,0.2005363779768912,0.327017442520318,-0.3281642373225775,-0.2949124986238178,Arunachal Pradesh,Ruba,75,"{""type"":""Point"",""coordinates"":[93.23343097214794,28.12217248185764]}"
0000000000000000004b,Damin,Kurung Kumey,True,0.2151368730394534,0.330159216486542,-0.3125858712606488,-0.3118243178172515,Arunachal Pradesh,Senamriang,76,"{""type"":""Point"",""coordinates"":[93.31913043529411,28.132049390691027]}"
0000000000000000004c,Damin,Kurung Kumey,True,0.2792556508132427,0.3273470572157617,-0.3099529000323773,-0.3042020792605554,Arunachal Pradesh,Sibia,77,"{""type"":""Point"",""coordinates"":[93.30126727647401,28.107020456478025]}"
0000000000000000004d,Damin,Kurung Kumey,True,0.2148348365046151,0.3376801807332684,-0.3395523233713188,-0.3156505834759012,Arunachal Pradesh,Tarba,78,"{""type"":""Point"",""coordinates"":[93.41954493191666,28.160752624172055]}"
0000000000000000004e,Damin,Kurung Kumey,True,0.2569911570609671,0.3037629055634009,-0.332901480724439,-0.3248084741261078,Arunachal Pradesh,Tokriang,79,"{""type"":""Point"",""coordinates"":[93.33119676274474,28.111073779335616]}"
0000000000000000004f,Damin,Kurung Kumey,True,0.2904124950142671,0.3117955124484286,-0.3178156729936152,-0.3034300749868769,Arunachal Pradesh,Yaso,80,"{""type"":""Point"",""coordinates"":[93.34733870855821,28.10027383658416]}"
00000000000000000050,Koloriang,Kurung Kumey,True,0.3232160265985372,0.3107197882087382,-0.374431213903821,-0.3152058115784589,Arunachal Pradesh,Buhan,81,"{""type"":""Point"",""coordinates"":[93.28314994889386,27.88954563900042]}"
00000000000000000051,Koloriang,Kurung Kumey,True,0.2645509265859922,0.3395111103852589,-0.2944062208005268,-0.3004945967693064,Arunachal Pradesh,Buyang,82,"{""type"":""Point"",""coordinates"":[93.2861152510944,27.941993585591053]}"
00000000000000000052,Koloriang,Kurung Kumey,True,0.2645509265859922,0.3395111103852589,-0.2944062208005268,-0.3004945967693064,Arunachal Pradesh,Buyang-II,83,"{""type"":""Point"",""coordinates"":[93.2861152510944,27.941993585591053]}"
00000000000000000053,Koloriang,Kurung Kumey,True,0.3425221984976537,0.3176821952191627,-0.3150948728056082,-0.2489601062014181,Arunachal Pradesh,Chello,84,"{""type"":""Point"",""coordinates"":[93.2916445364007,27.884921551208006]}"
00000000000000000054,Koloriang,Kurung Kumey,True,0.3472895957570799,0.2840097828428874,-0.3220860145128472,-0.2835875394230813,Arunachal Pradesh,Chimpu,85,"{""type"":""Point"",""coordinates"":[93.25662721582796,27.95224059981187]}"
00000000000000000055,Koloriang,Kurung Kumey,True,0.3094780150710082,0.2772256069529611,-0.3267628233909213,-0.2990209106799572,Arunachal Pradesh,Chomi,86,"{""type"":""Point"",""coordinates"":[93.25954792701798,27.955674107623025]}"
00000000000000000056,Koloriang,Kurung Kumey,True,0.3544956890214549,0.2825009351170907,-0.313214179499921,-0.2815324904697195,Arunachal Pradesh,Chote,87,"{""type"":""Point"",""coordinates"":[93.2616615409173,27.952441259359272]}"
00000000000000000057,Koloriang,Kurung Kumey,True,0.2532268127603499,0.347712098035068,-0.292216009571535,-0.2788387303463316,Arunachal Pradesh,Kiodhriang,88,"{""type"":""Point"",""coordinates"":[93.25418362845068,27.85817140398838]}"
00000000000000000058,Koloriang,Kurung Kumey,True,0.2476662947581364,0.3540208159946944,-0.3158165539949311,-0.2430903606077143,Arunachal Pradesh,Nangram,89,"{""type"":""Point"",""coordinates"":[93.43878595296228,27.907172465464694]}"
00000000000000000059,Koloriang,Kurung Kumey,True,0.3600213604095654,0.3564483462900355,-0.3265006267119064,-0.2974452780017756,Arunachal Pradesh,Nyolo,90,"{""type"":""Point"",""coordinates"":[93.30762149547517,27.901264156568878]}"
0000000000000000005a,Koloriang,Kurung Kumey,True,0.3339255389049153,0.3386751657182519,-0.3457153822300287,-0.311015468869015,Arunachal Pradesh,Pakba,91,"{""type"":""Point"",""coordinates"":[93.3997821960478,27.890361654493198]}"
0000000000000000005b,Koloriang,Kurung Kumey,True,0.2782668198093342,0.3671008963344367,-0.3214115300363602,-0.2754246008178453,Arunachal Pradesh,Papu,92,"{""type"":""Point"",""coordinates"":[93.39174243684843,27.911154442705424]}"
0000000000000000005c,Koloriang,Kurung Kumey,True,0.3184635415340641,0.3311811726473804,-0.2939404487885872,-0.2728924109681369,Arunachal Pradesh,Rengchi,93,"{""type"":""Point"",""coordinates"":[93.42677759382535,27.89140954324076]}"
0000000000000000005d,Koloriang,Kurung Kumey,True,0.3228058069613979,0.3211391382827991,-0.3440028530347665,-0.3223464424804784,Arunachal Pradesh,Tate,94,"{""type"":""Point"",""coordinates"":[93.26991533696723,27.953930599111125]}"
0000000000000000005e,Koloriang,Kurung Kumey,True,0.299690734512276,0.3717935259143511,-0.3061414659614595,-0.2341564571259693,Arunachal Pradesh,Yumlam,95,"{""type"":""Point"",""coordinates"":[93.45600700123069,27.889795348659415]}"
0000000000000000005f,Parsi-Parlo,Kurung Kumey,True,0.3092506546923455,0.3177164937187016,-0.2735671249794709,-0.2375395741857347,Arunachal Pradesh,Cheba,96,"{""type"":""Point"",""coordinates"":[93.48009952422245,28.02049605963697]}"
00000000000000000060,Parsi-Parlo,Kurung Kumey,True,0.3253267401692558,0.29506779289515,-0.2604427127548189,-0.2780821205008876,Arunachal Pradesh,Dape,97,"{""type"":""Point"",""coordinates"":[93.47626023821545,28.030506741501952]}"
00000000000000000061,Parsi-Parlo,Kurung Kumey,True,0.3412527924270502,0.3220572953245469,-0.2598534574029087,-0.2450263702194048,Arunachal Pradesh,Dare,98,"{""type"":""Point"",""coordinates"":[93.45663573447922,28.040744837520663]}"
