village_id,village,district,block,state,is_core_sample,latitude,longitude,built_before,built_after,built_before_image_count,built_after_image_count
129,Waru,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8852647,93.0448126,0.03746234395006965,0.047537053588869324,101,98
130,Chanli,Lower Dibang,Hunli-Desali,Arunachal Pradesh,True,28.2923493,96.0296242,0.037227999816729446,0.049570320977841406,86,103
131,Broxer,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.622647,91.9631993,0.045037875423077384,0.0407093601124916,25,35
132,Luguthang,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5948234,92.1857466,,,16,26
133,Mago,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6883395,92.2081099,,,16,26
134,Namazing,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5506261,91.9768197,0.03991419814697409,0.042585014197988866,25,35
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227,0.07494084003443198,0.09011045049154859,41,61
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,0.2274531198887977,0.22396217435905988,25,35
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,0.2274531198887977,0.22396217435905988,25,35
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298,0.11839748940172723,0.0832950965829024,25,35
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209,0.0519947571718657,0.04848546527320873,25,35
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379,0.0951760867679873,0.09400357682245403,25,35
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,0.5952160239539447,0.6109825588994031,25,35
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901,0.08287860694516715,0.08853675420670347,25,35
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757,0.07103783669931733,0.08053554039412861,25,35
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,0.5952160239539447,0.6109825588994031,25,35
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902,0.16376560379731195,0.16738798261803958,25,35
146,Thongleng,Tawang,Tawang,Arunachal Pradesh,True,27.57294,91.79215,0.08788326301166888,0.08742756954450114,25,35
147,Brokenthang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7352592,91.724121,0.06455807543021667,0.06274135023816141,25,35
148,Gorsam,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6973252,91.7142454,0.06386167749901632,0.057562869824479335,25,35
149,Kharman,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.691851,91.7463062,0.04247112721500503,0.03946397444021489,25,35
150,Lumpo,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7204821,91.7144005,0.0670701441763484,0.07267136540926315,25,35
151,Maling,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6350823,92.0693622,0.03500427464050284,0.03336466090058788,41,61
152,Muktur,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.5800562,91.6627629,0.051256359091872976,0.050096486061500384,25,35
153,Ramyang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.514701,91.6549664,0.07303548411991818,0.06245544343115282,25,35
154,Shakti,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.61139,91.71387,0.0665010038127858,0.08513910264746526,25,35
155,Shoktsen,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7416556,91.7318533,0.041135853258623435,0.0363199311640885,25,35
156,Sirdi,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6466524,91.7230296,0.03773380345549018,0.04048028058242123,25,35
157,Bishing,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.1107736,95.0268102,0.042030001668354695,0.04410984638613584,16,26
158,Bona,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0974164,94.9475348,0.04773989437419409,0.04355614591574937,16,26
159,Mankota,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8878329,95.0759463,0.059668311286048506,0.06960837687050332,81,97
160,Mayum,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0924208,94.9597907,0.036930442590696055,0.040654804133944934,16,26
161,Tashi Gaon,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8743385,95.1028336,0.046509310884566536,0.04677208249841372,81,97
162,Jido,Upper Siang,Tuting,Arunachal Pradesh,True,28.9820594,94.904882,0.07842431539556582,0.08392927093361194,16,26
163,Lali,Upper Siang,Tuting,Arunachal Pradesh,True,29.0003932,94.8912175,0.2069367636316852,0.22472983211215533,16,26
164,Ngaming,Upper Siang,Tuting,Arunachal Pradesh,True,28.9686342,94.9381419,0.09867954236278392,0.10798641172791681,16,26
165,Nyering,Upper Siang,Tuting,Arunachal Pradesh,True,28.9360701,95.0104597,0.048641079626405966,0.05184393412932756,16,26
166,Pango,Upper Siang,Tuting,Arunachal Pradesh,True,28.8870297,94.7578559,0.058907325100711304,0.06355652064494731,39,47
167,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,0.2914355473015578,0.3063177143243442,16,26
168,Pekong,Upper Siang,Tuting,Arunachal Pradesh,True,28.9878787,94.8919255,0.2914355473015578,0.3063177143243442,16,26
169,Pokbir,Upper Siang,Tuting,Arunachal Pradesh,True,28.963981,94.9375517,0.06860765546125226,0.08595941281329617,16,26
170,Rishing,Upper Siang,Tuting,Arunachal Pradesh,True,28.9984023,94.8852907,0.2662168057606868,0.27245361033454324,16,26
171,Tenggo,Upper Siang,Tuting,Arunachal Pradesh,True,29.0668244,94.478654,0.04039580456237153,0.039374300878732615,16,26
172,Dadu,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.3625828,93.5395735,0.04657647263386023,0.046713533867727315,24,43
173,Gumsing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,0.04527759442182231,0.05647898848225985,24,43
174,Lingbing,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4367283,93.2151175,0.038906593649855624,0.04966411433758019,24,43
175,Redding,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,0.06249762232826596,0.050889013142367226,24,43
176,Redding Camp,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4851077,93.4621565,0.06249762232826596,0.050889013142367226,24,43
177,Taying,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4321817,93.2172532,0.04527759442182231,0.05647898848225985,24,43
178,Yaja,Upper Subansiri,Limeking,Arunachal Pradesh,True,28.4354329,93.2468461,0.036288996985037986,0.03746797292348212,24,43
179,Chokar,Upper Subansiri,Nacho,Arunachal Pradesh,True,28.4279157,93.8094041,0.03538921113543833,0.03683443310392195,13,20
180,Jerigaon,West Kameng,Nafra,Arunachal Pradesh,True,27.3403204,92.4726477,0.14017705172376224,0.14368686397029642,16,26
181,Khellong,West Kameng,Nafra,Arunachal Pradesh,True,27.0133852,92.4145185,0.03486490502256613,0.034930428908066205,76,72
182,Gatam,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0979458,93.6001405,0.03264375254984111,0.03390772880786398,23,43
183,Habak,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.1084846,93.5827385,0.03351069838360724,0.03415697328734471,23,43
184,Hapuk (I),Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0967863,93.5839299,0.03329992985134216,0.0387562139471973,23,43
185,Kokso,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0838152,93.6115937,0.0324406630997577,0.03439527215609081,23,43
186,Richik,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.064816,93.6543383,0.034564099305963665,0.03365351562942394,23,43
187,Chungthang,North,Chungthang,Sikkim,True,27.604236,88.6465196,0.19410889680357057,0.1964631095088154,19,36
188,Tung,North,Chungthang,Sikkim,True,27.5475,88.6493,0.03623245364237329,0.03477103396331861,19,36
189,Chawang,North,Kabi Tingda,Sikkim,True,27.4415,88.5992,0.045236880416623715,0.04880296026436587,19,36
190,Labi,North,Kabi Tingda,Sikkim,True,27.4373,88.6584,0.03093994431683163,0.03170529692146799,19,36
191,Paney-Phensong,North,Kabi Tingda,Sikkim,True,27.4340487,88.6127695,0.06693944067265074,0.066305851613075,19,36
192,Phamtam,North,Kabi Tingda,Sikkim,True,27.4557,88.61,0.03536004494047489,0.03664579491260408,19,36
193,Phodong,North,Kabi Tingda,Sikkim,True,27.4130306,88.5838702,0.10298184780755774,0.10713315109270961,19,36
194,Ramthang,North,Kabi Tingda,Sikkim,True,27.4039854,88.550947,0.05713835246199763,0.05339434021428796,19,36
195,Rongong,North,Kabi Tingda,Sikkim,True,27.4092,88.5635,0.041925731273881384,0.04057796674802704,19,36
196,Tangyek,North,Kabi Tingda,Sikkim,True,27.4207,88.527,0.06844740284993024,0.08141607208929696,19,36
197,Tingchim,North,Kabi Tingda,Sikkim,True,27.4607586,88.5277316,0.07474900005793939,0.08463865002256685,19,36
198,Tingda,North,Kabi Tingda,Sikkim,True,27.3957,88.6272,0.07063780701822052,0.0682449041893972,19,36
199,Tumlong,North,Kabi Tingda,Sikkim,True,27.4198712,88.5898311,0.10051647239021123,0.09718766487081175,19,36
200,Lachen,North,Lachen,Sikkim,True,27.7305455,88.5469054,0.20188442434102272,0.2138559703855394,19,36
201,Lachung,North,Lachung,Sikkim,True,27.7794,88.7152648,0.04227496301068868,0.040295438703960615,19,36
202,Barfok,North,Passingdang,Sikkim,True,27.4977,88.491,0.033967787837311886,0.03572271096028699,19,36
203,Gor,North,Passingdang,Sikkim,True,27.4302826,88.4984203,0.042642976352597575,0.04538980422333156,19,36
