village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.2673433886309365,-0.2556083787063896,49,60,0.37533074301802627,0.187833519400889,4,4
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.2813479531819895,-0.24972632624477695,49,60,0.4062015912216597,0.18286778928344044,4,4
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.2746561762341149,-0.2538266664124516,49,60,0.38397345083569173,0.2701452560878178,4,4
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2524026196117273,-0.22698987056594114,49,60,0.4037340239849355,0.29070972064716943,4,4
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.2722191152070468,-0.2545814882665526,49,60,0.3784817724283645,0.2558655710504674,4,4
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.267731298816333,-0.26200107879204126,49,60,0.37737381576295015,0.2778764635083467,4,4
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.28882117871054647,-0.2547382041978741,49,60,0.39340189115049573,0.22895288686907375,4,4
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.2534682523159474,-0.24682143537043083,49,60,0.40277538454582373,0.23338734076069528,4,4
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.2989217955840456,-0.26662633375488753,49,60,0.38985535417047434,0.23370723045833913,4,4
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,-0.27723353218068264,-0.3020702568236898,49,60,0.3688421461529127,0.22278025012271627,4,4
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,-0.2555829817287799,-0.2732624576948341,49,60,0.39679268908054965,0.221184432510719,4,4
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,-0.27272861406518445,-0.2571960759067449,49,60,0.3881189115521639,0.27154172311571945,4,4
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,-0.2719912338751441,-0.27179566345579026,49,60,0.38535525224839257,0.2160009753823646,4,4
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,-0.27475509708320217,-0.25074289606993744,49,60,0.38700250254994706,0.2810109728960742,4,4
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,-0.2976266353926749,-0.2967777884331217,49,60,0.4212569756865768,0.13698590823332776,4,4
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,-0.2627567794816791,-0.2347109313264545,49,60,0.3821688426414884,0.23149194687778704,4,4
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-0.26937332145764287,-0.27262585693333136,49,60,0.35975806788853204,0.22497705524130507,4,4
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-0.27429498261463786,-0.28938694404920995,49,61,0.29498464518653994,0.365712791614711,4,4
