village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-0.2602716158720696,-0.20555680805006224,25,30,0.3628555583953858,0.26666666832235125,4,4
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-0.2595605959276235,-0.2477335094055814,49,61,0.3919999889532725,0.4035222136974335,4,4
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-0.25996278736318273,-0.2582966351417481,31,34,0.39170352758559507,0.34345132587230315,4,4
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.2494950703374168,-0.23803455915138558,49,53,0.42593612479218307,0.35871144577795194,4,4
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.27129882265300415,-0.2631400289933619,25,30,0.20986667182710436,0.2389555611875322,4,4
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.30863083098160365,-0.29071931846591675,98,121,0.48509912159999563,0.541530845054971,4,4
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.21636160605540905,-0.22155050494428427,25,30,0.4384402562822916,0.2640044240824944,4,4
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.23797425699085492,-0.22350869791962397,50,60,0.40148648619651794,0.36790541217133804,4,4
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.2985071042616866,-0.24676002700058383,25,30,0.3560416596355262,0.32749998845435957,4,4
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.2096074960230746,-0.18372887076882594,25,30,0.3847544584423304,0.35441964412374155,4,4
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.30587239747872114,-0.17760670498529577,25,30,0.33957399033644814,0.31578475049792915,4,4
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.23225374516316782,-0.25391545819892647,50,60,0.27302035163430605,0.34563348290607404,4,4
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.19312280932389778,-0.1895201777306539,50,60,0.4019137234550662,0.2942256613642768,4,4
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-0.18830440602454265,-0.15406229839538854,50,60,0.3823333263397217,0.3138333336512248,4,4
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-0.2553627523707101,-0.2719131891346587,50,60,0.3945423859570708,0.28672990548823557,4,4
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-0.3167636104375075,-0.18186882272690472,25,30,0.33157489058204687,0.3715088123266918,4,4
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-0.2411147774770921,-0.2186544865079302,50,60,0.3890154852935698,0.40193583994312626,4,4
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-0.312383632871488,-0.2335021908025198,25,30,0.3527397269799829,0.23110730626267384,4,4
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-0.3086560774123252,-0.2368173113376451,25,30,0.34407776965035336,0.3119222180048625,4,4
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,-0.2460307687669879,-0.22262896414539812,50,60,0.36497674459634827,0.3044534902239955,4,4
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,-0.27574952886806375,-0.2671039251126774,50,60,0.40104651409526204,0.3406511650529018,4,4
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,-0.23271080353217827,-0.24945614063185792,50,60,0.3479185172639755,0.27646475728387876,4,4
