village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
145,Yacho,East Kameng,Unknown,Arunachal Pradesh,True,27.6396662,92.9601837,41.20669380448659,control (non-VVP),True
146,Wagyang,East Kameng,Unknown,Arunachal Pradesh,True,27.6713461,93.0008935,41.66003471930939,control (non-VVP),True
147,Nampe,East Kameng,Unknown,Arunachal Pradesh,True,27.6900524,93.018259,41.71291984623759,control (non-VVP),True
148,Hanche,East Kameng,Unknown,Arunachal Pradesh,True,27.7421636,93.0637776,42.36245995708451,control (non-VVP),True
149,Jomoh,East Kameng,Unknown,Arunachal Pradesh,True,27.6573981,92.9985809,42.52204897730093,control (non-VVP),True
150,Byale,East Kameng,Unknown,Arunachal Pradesh,True,27.7356495,93.0675738,43.07194228022101,control (non-VVP),True
151,Namta Yangfo,East Kameng,Unknown,Arunachal Pradesh,True,27.7018661,93.0532147,43.848612382069,control (non-VVP),True
152,Waii,East Kameng,Unknown,Arunachal Pradesh,True,27.5965694,92.9464187,44.084326469908504,control (non-VVP),True
153,Bodo,East Kameng,Unknown,Arunachal Pradesh,True,27.680324,93.0406964,44.17659492189338,control (non-VVP),True
154,Lapung,East Kameng,Unknown,Arunachal Pradesh,True,27.5627371,92.8898001,44.27955623416437,control (non-VVP),True
155,Kapak Leyak,East Kameng,Unknown,Arunachal Pradesh,True,27.5337804,92.8465101,44.62584993063105,control (non-VVP),True
156,Sawa,East Kameng,Unknown,Arunachal Pradesh,True,27.6833826,93.0522114,44.918930570863594,control (non-VVP),True
157,Kapak Leyak Docha,East Kameng,Unknown,Arunachal Pradesh,True,27.5303152,92.8464486,44.93225424251877,control (non-VVP),True
158,Tungi,East Kameng,Unknown,Arunachal Pradesh,True,27.674452,93.0461713,45.010636883376584,control (non-VVP),True
159,Jokhio,East Kameng,Unknown,Arunachal Pradesh,True,27.6531478,93.0282798,45.08318404257387,control (non-VVP),True
160,Bengde,East Kameng,Unknown,Arunachal Pradesh,True,27.6619285,93.0379357,45.208655087430714,control (non-VVP),True
161,Pangia,East Kameng,Unknown,Arunachal Pradesh,True,27.633391,93.0158758,45.63264120581281,control (non-VVP),True
162,Jattom Sollung,East Kameng,Unknown,Arunachal Pradesh,True,27.7610472,93.1233315,46.28786910457017,control (non-VVP),True
163,Krema Pao,East Kameng,Unknown,Arunachal Pradesh,True,27.6579303,93.0508089,46.50386465478178,control (non-VVP),True
164,Khenawa,East Kameng,Unknown,Arunachal Pradesh,True,27.6180869,93.016777,46.89486107626151,control (non-VVP),True
165,Tagampu Sollung,East Kameng,Unknown,Arunachal Pradesh,True,27.7343114,93.1143115,47.133338565602415,control (non-VVP),True
166,Norang,East Kameng,Unknown,Arunachal Pradesh,True,27.5824001,92.9783276,47.3052366463645,control (non-VVP),True
167,Margingia Camp,East Kameng,Unknown,Arunachal Pradesh,True,27.631307,93.0389871,47.505482170419214,control (non-VVP),True
168,Tarawa Yangfo,East Kameng,Unknown,Arunachal Pradesh,True,27.7267073,93.1157187,47.710614385590354,control (non-VVP),True
